Ticker,Precio,Tendencia,RSI14,Ret3M %,Ret6M %,Vol20 anual %,Score rápido,Señal rápida
KLAC,1540.06,ALCISTA,56.46,21.0,35.58,49.72,7,FAVORABLE
MRAAY,12.05,ALCISTA,56.44,15.75,28.33,47.6,7,FAVORABLE
NVT,117.41,ALCISTA,50.72,10.12,18.54,53.49,7,FAVORABLE
FDL,50.46,ALCISTA,59.56,13.66,18.13,9.15,7,FAVORABLE
YXI,21.86,ALCISTA,55.22,12.31,16.6,26.37,7,FAVORABLE
TYO,13.67,ALCISTA,56.13,3.64,6.82,21.21,7,FAVORABLE
PFE,27.83,ALCISTA,55.52,12.38,6.33,23.27,7,FAVORABLE
MO,66.55,ALCISTA,57.09,18.07,4.8,20.46,7,FAVORABLE
USCI,96.63,ALCISTA,66.29,24.73,25.15,23.75,6,FAVORABLE
TBF,24.2,ALCISTA,53.46,0.59,3.78,12.86,7,FAVORABLE
JPST,50.45,ALCISTA,63.72,0.67,1.84,0.79,7,FAVORABLE
PULT,50.28,ALCISTA,55.45,0.52,1.64,0.58,7,FAVORABLE
BAMU,25.24,ALCISTA,62.47,0.52,1.32,0.56,7,FAVORABLE
JMST,50.93,ALCISTA,61.02,0.62,1.31,0.68,7,FAVORABLE
NRGU,43.94,ALCISTA,58.95,136.62,127.08,83.8,6,FAVORABLE
OILU,50.87,ALCISTA,56.82,107.8,117.11,69.77,6,FAVORABLE
WTIU,20.95,ALCISTA,55.79,109.5,106.61,79.67,6,FAVORABLE
GLW,146.5,ALCISTA,57.91,61.88,78.47,70.56,6,FAVORABLE
GUSH,42.77,ALCISTA,60.41,87.92,76.81,58.73,6,FAVORABLE
PBR,20.86,ALCISTA,69.83,75.0,67.68,38.67,6,FAVORABLE
DBC,29.48,ALCISTA,66.29,31.67,36.4,27.52,6,FAVORABLE
NORW,38.33,ALCISTA,66.75,26.04,28.82,24.73,6,FAVORABLE
TBX,28.11,ALCISTA,56.87,1.56,2.68,6.84,7,FAVORABLE
DELL,173.18,NEUTRA_ALCISTA,63.48,36.1,18.45,50.88,5,FAVORABLE
SUSB,24.98,NEUTRA_ALCISTA,50.57,0.13,1.11,3.28,5,FAVORABLE
DVYE,34.4,NEUTRA_ALCISTA,55.43,9.16,18.45,20.92,5,FAVORABLE
SDIV,25.25,NEUTRA_ALCISTA,52.45,5.91,10.33,21.68,5,FAVORABLE
SDOG,65.2,NEUTRA_ALCISTA,55.99,7.83,10.05,10.43,5,FAVORABLE
DUK,131.41,NEUTRA_ALCISTA,57.35,12.85,9.96,15.93,5,FAVORABLE
VEA,65.12,NEUTRA_ALCISTA,51.7,3.21,9.64,26.64,5,FAVORABLE
RDIV,55.53,NEUTRA_ALCISTA,55.5,6.45,8.93,10.24,5,FAVORABLE
T,28.32,NEUTRA_ALCISTA,52.13,16.66,7.22,23.33,5,FAVORABLE
VYM,148.69,NEUTRA_ALCISTA,50.62,3.32,6.85,12.13,5,FAVORABLE
PRF,48.09,NEUTRA_ALCISTA,52.82,2.05,6.84,13.9,5,FAVORABLE
DPST,103.36,NEUTRA_ALCISTA,55.9,0.93,6.55,49.38,5,FAVORABLE
IEFA,91.89,NEUTRA_ALCISTA,51.96,1.7,6.37,25.19,5,FAVORABLE
EXEL,43.98,NEUTRA_ALCISTA,60.43,0.92,6.36,24.21,5,FAVORABLE
SPYD,45.73,NEUTRA_ALCISTA,52.75,5.93,6.35,10.9,5,FAVORABLE
FLCA,49.68,NEUTRA_ALCISTA,53.18,2.45,10.5,19.36,5,FAVORABLE
EWK,25.05,NEUTRA_ALCISTA,54.95,2.41,6.13,26.34,5,FAVORABLE
ESGD,97.11,NEUTRA_ALCISTA,51.6,1.05,5.33,25.44,5,FAVORABLE
FLAU,33.57,NEUTRA_ALCISTA,51.09,5.79,5.19,25.72,5,FAVORABLE
IWML,24.21,NEUTRA_ALCISTA,51.39,1.51,4.36,53.04,5,FAVORABLE
SMMV,44.35,NEUTRA_ALCISTA,54.4,3.03,4.14,12.58,5,FAVORABLE
PEY,21.48,NEUTRA_ALCISTA,57.0,5.7,4.02,11.93,5,FAVORABLE
IWM,252.36,NEUTRA_ALCISTA,51.78,1.62,3.95,23.82,5,FAVORABLE
VOOV,205.43,NEUTRA_ALCISTA,50.47,0.37,3.69,12.77,5,FAVORABLE
MCHP,67.22,NEUTRA_ALCISTA,52.19,3.98,3.17,42.23,5,FAVORABLE
SMLF,76.57,NEUTRA_ALCISTA,52.86,1.17,2.96,22.76,5,FAVORABLE
TLTW,22.5,NEUTRA_ALCISTA,51.4,1.94,2.09,12.41,5,FAVORABLE
YEAR,50.28,NEUTRA_ALCISTA,53.31,0.56,1.57,0.98,5,FAVORABLE
EWS,28.46,NEUTRA_ALCISTA,56.09,2.56,0.84,22.39,5,FAVORABLE
EWA,28.22,NEUTRA_ALCISTA,50.87,6.61,5.6,28.12,5,FAVORABLE
KO,77.22,NEUTRA_ALCISTA,55.8,12.49,18.45,13.02,5,FAVORABLE
EWC,55.49,NEUTRA_ALCISTA,52.48,2.4,10.66,19.61,5,FAVORABLE
FLJP,36.71,NEUTRA_ALCISTA,51.68,5.7,11.04,28.65,5,FAVORABLE
FLJH,41.18,NEUTRA_ALCISTA,55.19,8.74,17.6,25.34,5,FAVORABLE
EWJV,43.18,NEUTRA_ALCISTA,53.35,8.22,16.78,26.35,5,FAVORABLE
FLMX,37.21,NEUTRA_ALCISTA,54.71,9.38,16.69,31.36,5,FAVORABLE
EPOL,37.04,NEUTRA_ALCISTA,57.69,2.18,16.69,32.23,5,FAVORABLE
EWT,71.29,NEUTRA_ALCISTA,50.6,10.07,16.51,34.29,5,FAVORABLE
ET,18.96,NEUTRA_ALCISTA,51.23,16.43,16.46,17.69,5,FAVORABLE
VLUE,146.25,NEUTRA_ALCISTA,53.23,5.41,16.4,19.92,5,FAVORABLE
THD,68.37,NEUTRA_ALCISTA,53.13,14.12,16.38,33.64,5,FAVORABLE
EWW,76.2,NEUTRA_ALCISTA,54.92,9.39,16.09,31.44,5,FAVORABLE
DBB,23.53,NEUTRA_ALCISTA,50.3,2.26,15.87,23.29,5,FAVORABLE
VPL,99.34,NEUTRA_ALCISTA,50.53,8.21,15.39,32.95,5,FAVORABLE
EWO,36.17,NEUTRA_ALCISTA,54.42,1.06,15.26,28.41,5,FAVORABLE
EWJ,85.57,NEUTRA_ALCISTA,51.13,5.21,10.76,29.18,5,FAVORABLE
TUR,39.14,NEUTRA_ALCISTA,52.02,12.08,14.78,25.51,5,FAVORABLE
SCHD,30.64,NEUTRA_ALCISTA,52.24,11.43,14.17,7.79,5,FAVORABLE
FTV,56.71,NEUTRA_ALCISTA,55.52,2.5,14.17,25.47,5,FAVORABLE
EWP,55.29,NEUTRA_ALCISTA,56.64,1.08,13.57,26.55,5,FAVORABLE
FLHK,19.17,NEUTRA_ALCISTA,53.59,9.68,12.92,9.04,5,FAVORABLE
PEP,156.73,NEUTRA_ALCISTA,51.16,11.18,12.2,18.34,5,FAVORABLE
EWU,46.42,NEUTRA_ALCISTA,55.24,4.41,11.97,22.41,5,FAVORABLE
EWZS,14.79,NEUTRA_ALCISTA,55.24,13.69,11.57,49.23,5,FAVORABLE
SCJ,99.63,NEUTRA_ALCISTA,54.29,8.0,11.48,25.15,5,FAVORABLE
COST,1018.55,NEUTRA_ALCISTA,64.23,19.36,11.41,13.24,5,FAVORABLE
FLGB,35.5,NEUTRA_ALCISTA,56.11,4.29,11.18,22.69,5,FAVORABLE
IWDL,50.4,NEUTRA_ALCISTA,51.48,8.17,11.09,28.28,5,FAVORABLE
TXN,199.42,NEUTRA_ALCISTA,53.11,13.07,11.08,31.79,5,FAVORABLE
VYMI,95.34,NEUTRA_ALCISTA,54.81,5.67,14.42,21.45,5,FAVORABLE
ERX,97.73,ALCISTA,56.9,68.87,79.01,45.79,7,FAVORABLE
