Date,Close,RSI14,Buy,Sell
2024-04-03,88.91383361816406,,False,False
2024-04-04,85.8565444946289,,False,False
2024-04-05,87.95836639404297,,False,False
2024-04-08,87.08385467529297,,False,False
2024-04-09,85.30584716796875,,False,False
2024-04-10,86.98991394042969,,False,False
2024-04-11,90.56489562988281,,False,False
2024-04-12,88.13626098632812,,False,False
2024-04-15,85.95248413085938,,False,False
2024-04-16,87.36569213867188,,False,False
2024-04-17,83.98760986328125,,False,False
2024-04-18,84.62323760986328,,False,False
2024-04-19,76.15702056884766,,False,False
2024-04-22,79.47315216064453,,False,False
2024-04-23,82.37651062011719,41.35176707119154,False,False
2024-04-24,79.6320571899414,41.69689286857037,False,False
2024-04-25,82.58539581298828,42.99197184393637,False,False
2024-04-26,87.68553161621094,50.706856968819345,False,False
2024-04-29,87.70751190185547,52.94292855191622,False,False
2024-04-30,86.35327911376953,49.213529275711785,False,False
2024-05-01,82.99415588378906,40.59729347839271,False,False
2024-05-02,85.76859283447266,47.08444717187571,False,False
2024-05-03,88.7389144897461,53.366014427237566,False,False
2024-05-06,92.08802032470703,55.449693840194676,False,False
2024-05-07,90.50292205810547,57.84343062227412,False,False
2024-05-08,90.36101531982422,56.990497054008664,False,False
2024-05-09,88.69694519042969,68.31303927731575,False,False
2024-05-10,89.82730102539062,66.15215172946,False,False
2024-05-13,90.3480224609375,63.43394846549538,False,False
2024-05-14,91.30448150634766,70.93236312053011,False,True
2024-05-15,94.57662963867188,71.26098040632068,False,True
2024-05-16,94.30579376220703,64.16353573990037,False,False
2024-05-17,92.42684173583984,59.353443087786026,False,False
2024-05-20,94.72655487060547,65.9958665881571,False,False
2024-05-21,95.33219146728516,76.34107845293069,False,True
2024-05-22,94.89643096923828,71.64935544344478,False,True
2024-05-23,103.74047088623047,77.82724128366101,False,True
2024-05-24,106.40894317626953,77.25285497913937,False,True
2024-05-28,113.83675384521484,86.3264272533604,False,True
2024-05-29,114.76022338867188,87.08261586965874,False,True
2024-05-30,110.43767547607422,80.57172626985376,False,True
2024-05-31,109.5711669921875,77.97130266017629,False,True
2024-06-03,114.93512725830078,80.62949995504441,False,True
2024-06-04,116.37133026123047,80.85829813803669,False,True
2024-06-05,122.37094116210938,82.06282139337969,False,True
2024-06-06,120.92975616455078,79.90524330870636,False,True
2024-06-07,120.81981658935547,83.21215266907433,False,True
2024-06-10,121.72130584716797,82.64443610401621,False,True
2024-06-11,120.85173797607422,80.66474391178552,False,True
2024-06-12,125.13966369628906,83.26156662372243,False,True
2024-06-13,129.5475311279297,81.45165174535879,False,True
2024-06-14,131.81643676757812,81.26922865296754,False,True
2024-06-17,130.9168701171875,75.04507884855005,False,True
2024-06-18,135.5146484375,77.47252569688082,False,True
2024-06-20,130.7169647216797,76.51012802629504,False,True
2024-06-21,126.50900268554688,70.36304413786374,False,True
2024-06-24,118.05306243896484,53.48905747621024,False,False
2024-06-25,126.02922821044922,59.42756589644245,False,False
2024-06-26,126.33908081054688,54.35754467029539,False,False
2024-06-27,123.93025207519531,53.22637621478974,False,False
2024-06-28,123.48046112060547,52.84018240444713,False,False
2024-07-01,124.2400894165039,52.696916871026815,False,False
2024-07-02,122.61088562011719,51.85340828581015,False,False
2024-07-03,128.21817016601562,53.155729781575126,False,False
2024-07-05,125.76935577392578,45.964988557718456,False,False
2024-07-08,128.13819885253906,46.08008716084917,False,False
2024-07-09,131.3166961669922,50.406358062197924,False,False
2024-07-10,134.84500122070312,49.304288661075105,False,False
2024-07-11,127.33860778808594,46.677168266119494,False,False
2024-07-12,129.17771911621094,52.753146653460576,False,False
2024-07-15,128.3780975341797,62.650023097373705,False,False
2024-07-16,126.29910278320312,50.38649394172686,False,False
2024-07-17,117.93313598632812,40.21865850388934,False,False
2024-07-18,121.0316390991211,46.6803915164561,False,False
2024-07-19,117.8731689453125,43.953442032651914,False,False
2024-07-22,123.48046112060547,49.25839712600769,False,False
2024-07-23,122.53091430664062,49.92087632974869,False,False
2024-07-24,114.19495391845703,36.83620090408011,False,False
2024-07-25,112.22589111328125,37.17099999869916,False,False
2024-07-26,113.00550842285156,35.22063772041568,False,False
2024-07-29,111.53620910644531,30.014116018998962,False,False
2024-07-30,103.68000030517578,21.043805818800976,False,False
2024-07-31,116.9636001586914,41.29485727673865,False,False
2024-08-01,109.15736389160156,34.730895435610094,False,False
2024-08-02,107.21829223632812,34.137560971369055,False,False
2024-08-05,100.40158081054688,31.87350478468899,False,False
2024-08-06,104.19977569580078,39.730957626413755,False,False
2024-08-07,98.8623275756836,33.96008989224501,False,False
2024-08-08,104.9194107055664,41.00500080367599,False,False
2024-08-09,104.69951629638672,35.90398758736225,False,False
2024-08-12,108.96745300292969,40.30299255107676,False,False
2024-08-13,116.08402252197266,51.37452916475053,False,False
2024-08-14,118.02310180664062,54.220023334609955,False,False
2024-08-15,122.80078887939453,56.73816998078402,False,False
2024-08-16,124.51995849609375,58.900917830037315,False,False
2024-08-19,129.9373779296875,68.62328349421784,False,False
2024-08-20,127.18867492675781,58.52640874079983,False,False
2024-08-21,128.4380645751953,68.05161735679908,False,False
2024-08-22,123.68035888671875,64.63997741971377,False,False
2024-08-23,129.30764770507812,76.26221344837911,False,True
